Etc/UTC,Open,High,Low,Close,Volume
2020-06-16T13:30:00+00:00,351.168,351.698,350.748,351.297,1687500
2020-06-16T13:31:00+00:00,351.268,351.268,349.798,349.878,2232500
2020-06-16T13:32:00+00:00,349.877,350.237,349.447,349.458,3830000
2020-06-16T13:33:00+00:00,349.478,349.818,349.058,349.148,4692500
2020-06-16T13:34:00+00:00,349.148,350.487,349.048,350.428,4560000
2020-06-16T13:35:00+00:00,350.458,350.628,350.088,350.448,3740000
2020-06-16T13:36:00+00:00,350.427,350.888,350.427,350.748,5165000
2020-06-16T13:37:00+00:00,350.728,350.757,349.817,350.388,5330000
2020-06-16T13:38:00+00:00,350.387,351.207,350.358,351.158,4525000
2020-06-16T13:39:00+00:00,351.157,351.167,350.538,350.718,4847500
2020-06-16T13:40:00+00:00,350.748,351.188,350.557,351.188,4435000
2020-06-16T13:41:00+00:00,351.148,351.747,351.127,351.637,5245000
2020-06-16T13:42:00+00:00,351.648,352.128,351.578,352.057,5577500
2020-06-16T13:43:00+00:00,352.058,352.298,351.908,352.238,5492500
2020-06-16T13:44:00+00:00,352.248,352.698,352.237,352.628,5545000
2020-06-16T13:45:00+00:00,352.657,352.998,352.598,352.938,6145000
2020-06-16T13:46:00+00:00,352.948,352.987,352.037,352.057,6915000
2020-06-16T13:47:00+00:00,352.058,352.248,351.638,352.118,6740000
2020-06-16T13:48:00+00:00,352.118,352.548,352.058,352.147,6547500
2020-06-16T13:49:00+00:00,352.148,352.257,351.197,351.197,7245000
2020-06-16T13:50:00+00:00,351.208,351.498,350.848,351.188,6765000
2020-06-16T13:51:00+00:00,351.197,351.197,350.698,350.708,6252500
2020-06-16T13:52:00+00:00,350.698,351.517,350.337,351.337,6470000
2020-06-16T13:53:00+00:00,351.337,351.968,351.167,351.828,5172500
2020-06-16T13:54:00+00:00,351.818,351.978,351.307,351.888,5910000
2020-06-16T13:55:00+00:00,351.898,352.127,351.847,352.068,5862500
2020-06-16T13:56:00+00:00,352.078,352.108,351.668,351.928,6175000
2020-06-16T13:57:00+00:00,351.917,352.178,351.757,351.948,5840000
2020-06-16T13:58:00+00:00,351.967,352.058,351.778,351.978,5115000
2020-06-16T13:59:00+00:00,351.978,352.108,351.728,351.728,4165000
2020-06-16T14:00:00+00:00,351.808,352.228,351.338,352.198,2425000
2020-06-16T14:01:00+00:00,352.198,352.358,351.628,351.758,4685000
2020-06-16T14:02:00+00:00,351.757,351.757,351.088,351.487,5087500
2020-06-16T14:03:00+00:00,351.487,351.908,351.247,351.718,4707500
2020-06-16T14:04:00+00:00,351.718,351.888,351.517,351.678,4795000
2020-06-16T14:05:00+00:00,351.678,351.968,351.298,351.958,6325000
2020-06-16T14:06:00+00:00,351.977,352.088,351.728,351.828,5790000
2020-06-16T14:07:00+00:00,351.828,351.938,351.627,351.728,5702500
2020-06-16T14:08:00+00:00,351.728,351.758,351.447,351.668,6262500
2020-06-16T14:09:00+00:00,351.648,351.868,351.478,351.598,5995000
2020-06-16T14:10:00+00:00,351.598,351.898,351.367,351.797,7292500
2020-06-16T14:11:00+00:00,351.798,351.888,351.608,351.688,5380000
2020-06-16T14:12:00+00:00,351.667,351.718,351.437,351.487,7282500
2020-06-16T14:13:00+00:00,351.488,351.778,351.488,351.738,6457500
2020-06-16T14:14:00+00:00,351.758,351.908,351.468,351.737,5762500
2020-06-16T14:15:00+00:00,351.738,351.898,351.418,351.838,6755000
2020-06-16T14:16:00+00:00,351.827,351.958,351.778,351.837,6252500
2020-06-16T14:17:00+00:00,351.838,351.938,351.597,351.927,5917500
2020-06-16T14:18:00+00:00,351.908,352.408,351.868,352.158,6445000
2020-06-16T14:19:00+00:00,352.147,352.457,352.147,352.188,5222500
2020-06-16T14:20:00+00:00,352.197,352.197,351.707,351.748,6512500
2020-06-16T14:21:00+00:00,351.778,351.778,351.028,351.258,6415000
2020-06-16T14:22:00+00:00,351.257,351.337,351.157,351.308,6125000
2020-06-16T14:23:00+00:00,351.317,351.578,351.247,351.528,6165000
2020-06-16T14:24:00+00:00,351.528,351.788,351.468,351.737,5767500
2020-06-16T14:25:00+00:00,351.737,351.998,351.547,351.928,5317500
2020-06-16T14:26:00+00:00,351.927,352.208,351.857,352.028,5522500
2020-06-16T14:27:00+00:00,352.018,352.218,351.917,352.208,5122500
2020-06-16T14:28:00+00:00,352.217,352.238,351.717,351.738,4540000
2020-06-16T14:29:00+00:00,351.738,351.888,351.557,351.798,5695000
2020-06-16T14:30:00+00:00,351.797,352.327,351.797,352.188,5295000
2020-06-16T14:31:00+00:00,352.187,352.188,351.847,352.137,5560000
2020-06-16T14:32:00+00:00,352.138,352.218,352.018,352.197,5940000
2020-06-16T14:33:00+00:00,352.198,352.288,352.057,352.148,5710000
2020-06-16T14:34:00+00:00,352.157,352.328,351.907,352.148,5925000
2020-06-16T14:35:00+00:00,352.158,352.218,351.877,352.107,6562500
2020-06-16T14:36:00+00:00,352.148,352.298,351.997,352.238,5640000
2020-06-16T14:37:00+00:00,352.228,352.508,351.048,351.108,6785000
2020-06-16T14:38:00+00:00,351.108,351.158,350.118,350.957,3457500
2020-06-16T14:39:00+00:00,351.048,351.568,351.048,351.448,2690000
2020-06-16T14:40:00+00:00,351.468,351.527,350.747,350.958,3267500
2020-06-16T14:41:00+00:00,350.957,350.998,350.167,350.338,2500000
