Etc/UTC,Open,High,Low,Close,Volume
2018-02-14T07:05:00+00:00,24731.47,24732.97,24729.47,24730.969,47760
2018-02-14T07:06:00+00:00,24728.47,24730.47,24727.47,24730.469,23880
2018-02-14T07:07:00+00:00,24732.469,24733.97,24732.469,24733.97,29850
2018-02-14T07:08:00+00:00,24734.47,24737.47,24733.47,24733.47,39800
2018-02-14T07:09:00+00:00,24733.969,24734.47,24731.97,24732.47,37810
2018-02-14T07:10:00+00:00,24732.97,24733.469,24729.97,24729.97,25870
2018-02-14T07:11:00+00:00,24732.469,24732.47,24727.47,24732.47,43780
2018-02-14T07:12:00+00:00,24732.97,24732.97,24729.469,24730.469,31840
2018-02-14T07:13:00+00:00,24730.969,24734.97,24730.969,24733.469,25870
2018-02-14T07:14:00+00:00,24733.969,24735.47,24732.47,24733.47,37810
2018-02-14T07:15:00+00:00,24733.97,24735.47,24732.469,24733.97,47760
2018-02-14T07:16:00+00:00,24733.47,24733.47,24728.969,24728.969,25870
2018-02-14T07:17:00+00:00,24730.47,24732.469,24729.47,24731.47,35820
2018-02-14T07:18:00+00:00,24732.469,24732.47,24730.969,24731.47,13930
2018-02-14T07:19:00+00:00,24730.97,24731.969,24729.47,24729.97,27860
2018-02-14T07:20:00+00:00,24728.969,24729.47,24727.469,24728.47,19900
2018-02-14T07:21:00+00:00,24727.469,24727.469,24724.469,24724.97,13930
2018-02-14T07:22:00+00:00,24725.47,24726.47,24721.469,24723.469,33830
2018-02-14T07:23:00+00:00,24723.97,24729.47,24723.97,24727.969,33830
2018-02-14T07:24:00+00:00,24728.469,24728.969,24726.469,24728.969,25870
2018-02-14T07:25:00+00:00,24729.47,24732.47,24725.469,24732.47,53730
2018-02-14T07:26:00+00:00,24731.969,24734.969,24731.969,24734.969,39800
2018-02-14T07:27:00+00:00,24735.969,24736.469,24733.47,24733.969,27860
2018-02-14T07:28:00+00:00,24734.47,24741.969,24733.969,24741.969,57710
2018-02-14T07:29:00+00:00,24742.469,24746.47,24740.969,24745.969,37810
2018-02-14T07:30:00+00:00,24746.969,24748.47,24745.97,24746.969,33830
2018-02-14T07:31:00+00:00,24747.47,24747.47,24742.47,24745.969,23880
2018-02-14T07:32:00+00:00,24745.469,24747.47,24743.97,24747.47,45770
2018-02-14T07:33:00+00:00,24746.47,24752.47,24745.47,24752.469,45770
2018-02-14T07:34:00+00:00,24753.47,24802.969,24751.47,24793.969,240790
2018-02-14T07:35:00+00:00,24794.97,24820.969,24792.969,24819.469,206960
2018-02-14T07:36:00+00:00,24818.969,24822.47,24806.969,24807.97,177110
2018-02-14T07:37:00+00:00,24808.469,24819.97,24807.47,24813.97,129350
2018-02-14T07:38:00+00:00,24814.469,24814.97,24801.969,24810.969,109450
2018-02-14T07:39:00+00:00,24807.47,24811.47,24801.969,24801.969,89550
2018-02-14T07:40:00+00:00,24802.469,24835.97,24802.469,24835.97,133330
2018-02-14T07:41:00+00:00,24836.969,24841.469,24822.47,24832.47,135320
2018-02-14T07:42:00+00:00,24833.469,24834.469,24822.969,24822.97,99500
2018-02-14T07:43:00+00:00,24823.469,24825.47,24821.469,24824.469,85570
2018-02-14T07:44:00+00:00,24825.97,24827.97,24822.469,24822.469,41790
2018-02-14T07:45:00+00:00,24823.969,24825.97,24820.969,24822.469,67660
2018-02-14T07:46:00+00:00,24821.969,24823.969,24819.469,24821.469,49750
2018-02-14T07:47:00+00:00,24820.47,24822.47,24818.469,24821.969,55720
2018-02-14T07:48:00+00:00,24822.469,24832.97,24818.469,24831.47,89550
2018-02-14T07:49:00+00:00,24831.97,24832.97,24820.469,24822.969,85570
2018-02-14T07:50:00+00:00,24823.47,24830.97,24823.47,24827.969,71640
2018-02-14T07:51:00+00:00,24828.47,24835.47,24828.47,24835.47,47760
2018-02-14T07:52:00+00:00,24836.47,24838.969,24833.469,24836.469,55720
2018-02-14T07:53:00+00:00,24836.47,24836.97,24829.469,24831.47,83580
2018-02-14T07:54:00+00:00,24831.969,24835.969,24831.969,24835.969,77610
2018-02-14T07:55:00+00:00,24835.469,24836.469,24833.47,24833.97,41790
2018-02-14T07:56:00+00:00,24834.469,24838.969,24833.47,24835.47,69650
