Etc/UTC,Open,High,Low,Close,Volume
2021-06-16T00:00:00+00:00,14037.309,14038.899,14035.969,14038.899,105511
2021-06-16T00:01:00+00:00,14038.689,14038.717,14034.089,14037.159,114855
2021-06-16T00:02:00+00:00,14037.269,14041.197,14037.269,14039.259,81655
2021-06-16T00:03:00+00:00,14039.169,14040.489,14036.949,14037.609,88983
2021-06-16T00:04:00+00:00,14037.809,14038.389,14036.789,14038.189,56668
2021-06-16T00:05:00+00:00,14038.749,14041.299,14038.719,14039.219,66506
2021-06-16T00:06:00+00:00,14040.299,14041.509,14039.549,14040.699,65668
2021-06-16T00:07:00+00:00,14040.467,14043.399,14039.959,14042.479,55032
2021-06-16T00:08:00+00:00,14042.689,14043.499,14041.229,14041.537,85741
2021-06-16T00:09:00+00:00,14041.519,14042.109,14040.929,14040.979,48199
2021-06-16T00:10:00+00:00,14041.109,14042.699,14040.929,14042.459,51069
2021-06-16T00:11:00+00:00,14042.679,14042.889,14041.129,14042.619,51795
2021-06-16T00:12:00+00:00,14042.899,14043.017,14041.079,14041.589,45151
2021-06-16T00:13:00+00:00,14041.889,14042.979,14041.239,14042.009,39098
2021-06-16T00:14:00+00:00,14041.997,14042.789,14040.709,14042.469,54948
2021-06-16T00:15:00+00:00,14042.579,14043.507,14040.919,14040.919,37690
2021-06-16T00:16:00+00:00,14040.949,14041.699,14039.619,14041.669,61089
2021-06-16T00:17:00+00:00,14041.689,14042.019,14040.439,14040.659,44549
2021-06-16T00:18:00+00:00,14040.919,14041.507,14038.999,14041.119,49860
2021-06-16T00:19:00+00:00,14041.157,14041.189,14040.269,14040.499,33106
2021-06-16T00:20:00+00:00,14040.507,14042.797,14039.919,14042.279,71733
2021-06-16T00:21:00+00:00,14042.237,14043.197,14041.729,14042.309,26466
2021-06-16T00:22:00+00:00,14042.317,14042.899,14040.439,14040.499,54188
2021-06-16T00:23:00+00:00,14040.497,14042.199,14039.139,14040.529,46219
2021-06-16T00:24:00+00:00,14040.889,14041.509,14039.767,14040.399,52080
2021-06-16T00:25:00+00:00,14040.249,14040.997,14039.999,14040.529,63206
2021-06-16T00:26:00+00:00,14040.587,14041.009,14039.949,14040.149,35241
2021-06-16T00:27:00+00:00,14040.799,14040.899,14039.429,14039.709,21044
2021-06-16T00:28:00+00:00,14039.667,14040.499,14039.149,14040.309,29561
2021-06-16T00:29:00+00:00,14040.489,14042.689,14040.209,14042.399,36207
2021-06-16T00:30:00+00:00,14042.187,14042.689,14040.499,14042.407,38457
2021-06-16T00:31:00+00:00,14042.299,14044.199,14041.769,14044.199,33399
2021-06-16T00:32:00+00:00,14044.439,14045.087,14043.209,14043.209,64710
2021-06-16T00:33:00+00:00,14043.279,14044.399,14043.249,14043.659,34467
2021-06-16T00:34:00+00:00,14043.677,14043.887,14041.139,14041.939,51089
2021-06-16T00:35:00+00:00,14042.179,14044.389,14042.179,14044.139,43650
2021-06-16T00:36:00+00:00,14044.309,14044.797,14043.429,14043.559,58624
2021-06-16T00:37:00+00:00,14043.889,14044.509,14043.619,14044.509,45203
2021-06-16T00:38:00+00:00,14044.549,14045.899,14044.549,14044.919,48875
2021-06-16T00:39:00+00:00,14045.049,14045.389,14043.259,14043.809,63971
2021-06-16T00:40:00+00:00,14043.807,14044.297,14043.419,14044.019,60135
2021-06-16T00:41:00+00:00,14044.197,14044.199,14043.189,14043.429,55602
2021-06-16T00:42:00+00:00,14043.417,14043.497,14042.689,14042.689,10576
2021-06-16T00:43:00+00:00,14042.697,14043.009,14040.919,14040.919,51790
2021-06-16T00:44:00+00:00,14041.119,14041.399,14040.549,14040.719,9821
2021-06-16T00:45:00+00:00,14040.999,14041.197,14039.079,14040.029,57845
2021-06-16T00:46:00+00:00,14040.007,14040.199,14039.139,14039.959,39901
2021-06-16T00:47:00+00:00,14040.089,14040.189,14039.449,14039.709,36797
2021-06-16T00:48:00+00:00,14039.989,14040.789,14039.629,14039.999,51187
2021-06-16T00:49:00+00:00,14040.299,14040.997,14039.929,14040.699,42003
2021-06-16T00:50:00+00:00,14040.469,14040.469,14038.009,14038.509,59461
2021-06-16T00:51:00+00:00,14038.457,14039.069,14037.529,14038.989,42085
2021-06-16T00:52:00+00:00,14038.927,14038.999,14038.119,14038.179,18178
2021-06-16T00:53:00+00:00,14038.187,14038.187,14037.489,14037.599,42132
2021-06-16T00:54:00+00:00,14037.527,14037.709,14036.109,14037.109,32488
2021-06-16T00:55:00+00:00,14037.027,14037.789,14036.209,14037.609,42839
2021-06-16T00:56:00+00:00,14037.679,14037.899,14036.589,14036.649,36755
2021-06-16T00:57:00+00:00,14036.707,14036.707,14033.699,14034.939,58739
2021-06-16T00:58:00+00:00,14035.017,14036.577,14034.669,14035.479,45839
2021-06-16T00:59:00+00:00,14035.447,14035.899,14034.209,14034.209,44186
2021-06-16T01:00:00+00:00,14034.739,14034.817,14031.579,14031.579,55532
2021-06-16T01:01:00+00:00,14032.189,14034.209,14031.219,14031.219,73603
2021-06-16T01:02:00+00:00,14031.469,14032.999,14029.209,14031.987,106017
2021-06-16T01:03:00+00:00,14031.659,14034.049,14030.949,14033.979,59615
2021-06-16T01:04:00+00:00,14033.927,14035.197,14033.679,14034.809,72106
2021-06-16T01:05:00+00:00,14034.757,14035.989,14034.649,14035.089,63173
2021-06-16T01:06:00+00:00,14035.129,14038.289,14035.129,14037.999,60149
2021-06-16T01:07:00+00:00,14037.927,14038.969,14037.459,14037.459,35674
2021-06-16T01:08:00+00:00,14037.789,14037.889,14036.229,14036.229,58625
2021-06-16T01:09:00+00:00,14036.459,14037.289,14035.919,14036.449,54775
2021-06-16T01:10:00+00:00,14036.507,14036.507,14034.809,14036.169,36285
2021-06-16T01:11:00+00:00,14036.499,14036.719,14035.229,14035.899,45916
2021-06-16T01:12:00+00:00,14035.647,14036.779,14035.179,14036.779,32283
2021-06-16T01:13:00+00:00,14037.109,14037.299,14036.689,14037.189,17300
2021-06-16T01:14:00+00:00,14037.279,14038.189,14037.119,14037.609,22483
2021-06-16T01:15:00+00:00,14037.889,14038.967,14036.679,14037.599,119526
2021-06-16T01:16:00+00:00,14037.649,14039.889,14037.609,14039.189,88703
2021-06-16T01:17:00+00:00,14039.319,14039.809,14037.909,14038.009,62387
2021-06-16T01:18:00+00:00,14037.937,14038.799,14036.209,14038.409,44449
2021-06-16T01:19:00+00:00,14038.589,14039.579,14038.579,14039.139,59247
2021-06-16T01:20:00+00:00,14038.999,14040.499,14038.999,14039.979,30903
2021-06-16T01:21:00+00:00,14040.109,14040.199,14038.419,14039.179,36176
2021-06-16T01:22:00+00:00,14039.299,14040.399,14038.099,14038.279,45851
2021-06-16T01:23:00+00:00,14038.307,14038.999,14037.909,14038.209,20260
2021-06-16T01:24:00+00:00,14038.219,14038.899,14037.619,14037.799,45701
2021-06-16T01:25:00+00:00,14037.737,14039.889,14037.499,14039.449,45350
2021-06-16T01:26:00+00:00,14039.497,14041.189,14039.009,14039.159,44554
2021-06-16T01:27:00+00:00,14039.107,14039.299,14037.707,14037.709,18794
2021-06-16T01:28:00+00:00,14037.999,14038.519,14037.159,14037.539,37686
2021-06-16T01:29:00+00:00,14037.537,14038.489,14037.419,14038.059,52752
2021-06-16T01:30:00+00:00,14038.299,14039.789,14036.539,14037.689,139655
2021-06-16T01:31:00+00:00,14037.607,14040.789,14037.109,14037.739,122078
2021-06-16T01:32:00+00:00,14037.727,14038.889,14036.909,14038.889,51041
2021-06-16T01:33:00+00:00,14038.707,14039.499,14037.749,14039.019,93451
2021-06-16T01:34:00+00:00,14039.299,14039.499,14037.219,14038.499,98616
2021-06-16T01:35:00+00:00,14038.459,14040.489,14037.459,14037.649,70698
2021-06-16T01:36:00+00:00,14037.679,14040.477,14037.179,14039.229,95730
2021-06-16T01:37:00+00:00,14039.227,14039.677,14037.179,14038.009,102407
2021-06-16T01:38:00+00:00,14038.047,14038.229,14036.699,14036.979,90840
2021-06-16T01:39:00+00:00,14037.187,14037.799,14035.609,14037.617,82858
2021-06-16T01:40:00+00:00,14037.639,14039.009,14035.229,14035.789,106569
2021-06-16T01:41:00+00:00,14035.649,14038.987,14035.629,14038.629,95438
2021-06-16T01:42:00+00:00,14038.637,14038.637,14037.589,14037.619,36822
2021-06-16T01:43:00+00:00,14037.707,14038.799,14036.469,14037.729,78237
2021-06-16T01:44:00+00:00,14037.989,14038.197,14035.089,14035.309,35436
2021-06-16T01:45:00+00:00,14035.297,14035.699,14032.269,14032.519,89693
2021-06-16T01:46:00+00:00,14032.619,14034.699,14032.489,14034.009,72951
2021-06-16T01:47:00+00:00,14033.977,14034.199,14032.409,14032.439,66834
2021-06-16T01:48:00+00:00,14032.697,14033.499,14031.169,14033.029,98545
2021-06-16T01:49:00+00:00,14033.067,14033.687,14032.209,14032.219,63331
2021-06-16T01:50:00+00:00,14032.199,14036.189,14030.439,14036.089,89830
2021-06-16T01:51:00+00:00,14036.077,14037.497,14034.279,14035.579,115800
2021-06-16T01:52:00+00:00,14035.629,14037.789,14035.629,14036.809,82053
2021-06-16T01:53:00+00:00,14037.199,14038.099,14036.949,14037.459,65471
2021-06-16T01:54:00+00:00,14037.437,14037.489,14035.769,14036.659,63141
2021-06-16T01:55:00+00:00,14036.759,14038.199,14036.689,14037.769,75985
2021-06-16T01:56:00+00:00,14037.389,14038.809,14036.209,14038.679,66919
2021-06-16T01:57:00+00:00,14038.939,14039.399,14036.509,14037.459,55670
2021-06-16T01:58:00+00:00,14037.189,14038.509,14036.509,14037.739,63282
2021-06-16T01:59:00+00:00,14037.969,14038.717,14037.109,14037.299,93852
2021-06-16T02:00:00+00:00,14037.247,14038.989,14036.469,14038.749,104509
2021-06-16T02:01:00+00:00,14038.969,14039.899,14038.639,14039.009,64115
2021-06-16T02:02:00+00:00,14038.967,14039.499,14038.199,14038.509,75795
2021-06-16T02:03:00+00:00,14038.619,14039.209,14037.689,14038.999,51771
2021-06-16T02:04:00+00:00,14039.209,14039.887,14038.109,14039.169,30158
2021-06-16T02:05:00+00:00,14039.049,14039.697,14038.269,14039.089,53315
2021-06-16T02:06:00+00:00,14039.017,14039.987,14038.679,14039.689,54383
2021-06-16T02:07:00+00:00,14039.457,14040.387,14038.959,14039.519,53370
2021-06-16T02:08:00+00:00,14039.609,14039.609,14038.119,14038.989,35340
2021-06-16T02:09:00+00:00,14038.929,14038.929,14036.669,14037.079,57874
2021-06-16T02:10:00+00:00,14037.179,14037.799,14036.779,14037.189,69801
2021-06-16T02:11:00+00:00,14037.109,14037.399,14036.109,14036.259,62346
2021-06-16T02:12:00+00:00,14036.509,14037.179,14036.139,14036.419,57076
2021-06-16T02:13:00+00:00,14036.427,14038.087,14036.109,14037.479,68378
2021-06-16T02:14:00+00:00,14037.519,14037.519,14035.709,14035.709,66199
2021-06-16T02:15:00+00:00,14035.687,14037.389,14034.659,14037.189,48999
2021-06-16T02:16:00+00:00,14037.167,14038.499,14037.049,14038.109,66795
2021-06-16T02:17:00+00:00,14038.097,14038.399,14037.069,14037.789,60111
2021-06-16T02:18:00+00:00,14037.747,14037.747,14036.909,14037.189,35268
2021-06-16T02:19:00+00:00,14037.397,14037.607,14036.039,14036.119,45929
2021-06-16T02:20:00+00:00,14036.117,14036.799,14035.517,14036.499,61624
2021-06-16T02:21:00+00:00,14036.159,14037.039,14035.939,14036.129,74325
2021-06-16T02:22:00+00:00,14036.279,14036.697,14034.799,14034.969,66163
2021-06-16T02:23:00+00:00,14035.099,14035.689,14035.059,14035.689,22496
2021-06-16T02:24:00+00:00,14035.949,14036.197,14035.019,14035.109,45842
2021-06-16T02:25:00+00:00,14035.309,14035.899,14035.029,14035.449,49496
2021-06-16T02:26:00+00:00,14035.507,14036.019,14034.709,14035.789,40494
2021-06-16T02:27:00+00:00,14035.679,14036.399,14035.459,14036.259,38442
2021-06-16T02:28:00+00:00,14036.489,14037.507,14036.489,14036.819,46612
2021-06-16T02:29:00+00:00,14036.997,14036.997,14035.679,14035.679,47262
2021-06-16T02:30:00+00:00,14035.667,14035.667,14033.659,14033.679,46646
2021-06-16T02:31:00+00:00,14033.819,14034.889,14033.449,14033.669,54972
2021-06-16T02:32:00+00:00,14033.717,14033.997,14033.007,14033.449,28534
2021-06-16T02:33:00+00:00,14033.497,14034.009,14033.129,14033.769,23329
2021-06-16T02:34:00+00:00,14033.679,14034.699,14033.499,14034.289,32408
2021-06-16T02:35:00+00:00,14034.499,14036.199,14034.049,14035.979,68338
2021-06-16T02:36:00+00:00,14035.749,14037.009,14035.619,14036.299,63149
2021-06-16T02:37:00+00:00,14036.459,14037.439,14036.109,14036.709,58767
2021-06-16T02:38:00+00:00,14036.779,14036.987,14035.569,14036.299,31606
2021-06-16T02:39:00+00:00,14036.079,14036.989,14035.929,14036.899,41994
2021-06-16T02:40:00+00:00,14036.657,14037.899,14035.909,14037.899,54823
2021-06-16T02:41:00+00:00,14037.579,14037.999,14037.009,14037.679,47254
2021-06-16T02:42:00+00:00,14037.999,14039.979,14037.919,14038.199,32441
2021-06-16T02:43:00+00:00,14038.117,14038.699,14037.539,14037.629,23260
2021-06-16T02:44:00+00:00,14037.697,14037.979,14037.439,14037.979,30784
2021-06-16T02:45:00+00:00,14038.197,14038.197,14035.949,14036.799,44282
2021-06-16T02:46:00+00:00,14036.709,14036.709,14033.679,14034.279,55679
2021-06-16T02:47:00+00:00,14034.227,14034.609,14032.409,14033.299,57949
2021-06-16T02:48:00+00:00,14033.217,14033.217,14032.219,14032.929,69764
2021-06-16T02:49:00+00:00,14033.079,14034.489,14032.989,14033.149,44487
2021-06-16T02:50:00+00:00,14033.167,14033.167,14031.919,14032.499,52583
2021-06-16T02:51:00+00:00,14032.209,14032.989,14031.659,14031.659,72811
2021-06-16T02:52:00+00:00,14031.919,14032.159,14031.109,14031.179,34590
2021-06-16T02:53:00+00:00,14031.439,14032.299,14031.079,14031.699,89372
2021-06-16T02:54:00+00:00,14031.639,14031.999,14031.059,14031.229,39834
2021-06-16T02:55:00+00:00,14031.237,14031.779,14029.719,14031.729,54779
2021-06-16T02:56:00+00:00,14031.989,14033.699,14031.929,14033.459,78809
2021-06-16T02:57:00+00:00,14033.599,14035.007,14033.579,14034.799,69752
2021-06-16T02:58:00+00:00,14034.479,14035.707,14034.149,14034.449,70623
2021-06-16T02:59:00+00:00,14034.579,14034.699,14033.539,14033.689,44426
2021-06-16T03:00:00+00:00,14033.749,14034.499,14033.049,14033.639,63326
2021-06-16T03:01:00+00:00,14033.617,14033.897,14032.639,14033.439,45951
2021-06-16T03:02:00+00:00,14033.589,14034.499,14032.619,14034.449,41320
2021-06-16T03:03:00+00:00,14034.799,14034.799,14033.159,14033.159,42791
2021-06-16T03:04:00+00:00,14033.187,14033.187,14031.729,14032.069,50291
2021-06-16T03:05:00+00:00,14031.969,14032.299,14031.119,14031.459,47227
2021-06-16T03:06:00+00:00,14031.507,14032.689,14031.239,14031.239,53450
2021-06-16T03:07:00+00:00,14031.389,14032.699,14031.209,14032.509,42090
2021-06-16T03:08:00+00:00,14032.699,14033.387,14032.249,14032.559,69097
2021-06-16T03:09:00+00:00,14032.577,14032.789,14031.999,14031.999,34549
2021-06-16T03:10:00+00:00,14032.099,14032.709,14032.019,14032.169,21848
2021-06-16T03:11:00+00:00,14032.207,14034.197,14031.229,14033.109,64609
2021-06-16T03:12:00+00:00,14033.087,14033.137,14032.419,14032.509,37582
2021-06-16T03:13:00+00:00,14032.499,14032.789,14031.959,14032.469,31545
2021-06-16T03:14:00+00:00,14032.687,14032.709,14031.689,14032.419,31710
2021-06-16T03:15:00+00:00,14032.517,14034.067,14031.669,14034.019,35497
2021-06-16T03:16:00+00:00,14034.459,14034.609,14032.929,14033.289,38302
2021-06-16T03:17:00+00:00,14033.247,14033.697,14032.419,14032.719,60747
2021-06-16T03:18:00+00:00,14032.647,14032.719,14031.519,14032.009,57042
2021-06-16T03:19:00+00:00,14032.087,14032.299,14030.929,14031.479,35975
2021-06-16T03:20:00+00:00,14031.417,14032.959,14031.029,14032.199,53372
2021-06-16T03:21:00+00:00,14032.207,14033.479,14031.999,14032.919,32417
2021-06-16T03:22:00+00:00,14033.197,14033.709,14032.729,14033.709,27937
2021-06-16T03:23:00+00:00,14033.809,14034.689,14033.639,14033.889,19644
2021-06-16T03:24:00+00:00,14034.139,14034.899,14034.089,14034.089,27804
2021-06-16T03:25:00+00:00,14034.297,14034.689,14033.269,14034.089,69832
2021-06-16T03:26:00+00:00,14034.087,14034.699,14032.919,14032.919,51059
2021-06-16T03:27:00+00:00,14033.007,14033.799,14032.509,14033.479,30986
2021-06-16T03:28:00+00:00,14033.759,14034.689,14033.549,14034.449,62317
